name,type,isin,distribution_policy,yahoo_ticker,yahoo_exchange,yahoo_source_url,ordinary_tax_principle,ordinary_income_type,ask_eligible,tax_basis,tax_source_url,classification_as_of
Sparinvest Mix Mellem Risiko KL A,Investeringsforeninger,DK0060623262,Distribuerende,SPIMMRKLA.CO,CPH,https://finance.yahoo.com/quote/SPIMMRKLA.CO/,realisations,kapitalindkomst,no,VP 2026: 1/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Mix Rente KL A,Investeringsforeninger,DK0061551702,Distribuerende,SPIMRA.CO,CPH,https://finance.yahoo.com/quote/SPIMRA.CO/,realisations,kapitalindkomst,no,VP 2026: 1/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Nye Obligationsmarkeder KL A,Investeringsforeninger,DK0016030786,Distribuerende,SPINOBKLA.CO,CPH,https://finance.yahoo.com/quote/SPINOBKLA.CO/,realisations,kapitalindkomst,no,VP 2026: 1/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest SICAV Balance DKK R,Investeringsforeninger,LU0673458609,Akkumulerende,SSIBDKKR.CO,CPH,https://finance.yahoo.com/quote/SSIBDKKR.CO/,lager,kapitalindkomst,no,VP 2026: 8/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest SICAV Balance EUR R,Investeringsforeninger,LU0650088072,Akkumulerende,SSIBAEURR.CO,CPH,https://finance.yahoo.com/quote/SSIBAEURR.CO/,lager,kapitalindkomst,no,VP 2026: 8/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest SICAV Glob Conver Bonds EUR R,Investeringsforeninger,LU1438960566,Akkumulerende,SSIGCBEURR.CO,CPH,https://finance.yahoo.com/quote/SSIGCBEURR.CO/,lager,kapitalindkomst,no,VP 2026: 8/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest SICAV Global Value EUR R,Investeringsforeninger,LU0138501191,Akkumulerende,SSIGVEURR.CO,CPH,https://finance.yahoo.com/quote/SSIGVEURR.CO/,lager,kapitalindkomst,no,VP 2026: 8/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest SICAV Procedo DKK R,Investeringsforeninger,LU0686499277,Akkumulerende,SSIPDKKR.CO,CPH,https://finance.yahoo.com/quote/SSIPDKKR.CO/,lager,kapitalindkomst,no,VP 2026: 8/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest SICAV Securus DKK R,Investeringsforeninger,LU0686498972,Akkumulerende,SSISDKKR.CO,CPH,https://finance.yahoo.com/quote/SSISDKKR.CO/,lager,kapitalindkomst,no,VP 2026: 8/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest SICAV Securus EUR R,Investeringsforeninger,LU0139791205,Akkumulerende,SSISEURR.CO,CPH,https://finance.yahoo.com/quote/SSISEURR.CO/,lager,kapitalindkomst,no,VP 2026: 8/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Value Aktier KL A,Investeringsforeninger,DK0010079631,Distribuerende,SPIVAKLA.CO,CPH,https://finance.yahoo.com/quote/SPIVAKLA.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Value Emerging Markets KL A,Investeringsforeninger,DK0010304856,Distribuerende,SPIVEMKLA.CO,CPH,https://finance.yahoo.com/quote/SPIVEMKLA.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Value Europa KL A,Investeringsforeninger,DK0060032571,Distribuerende,SPIVEUKLA.CO,CPH,https://finance.yahoo.com/quote/SPIVEUKLA.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparinvest Virksomhedsobl HY KL A,Investeringsforeninger,DK0060819324,Distribuerende,SPIVHYKLA.CO,CPH,https://finance.yahoo.com/quote/SPIVHYKLA.CO/,realisations,kapitalindkomst,no,VP 2026: 1/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
StockRate Invest Globale Aktier,Investeringsforeninger,DK0060206316,Distribuerende,SRIGAU.CO,CPH,https://finance.yahoo.com/quote/SRIGAU.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Storebrand Global Multifactor A5,Investeringsforeninger,NO0010841596,Akkumulerende,STIGM.CO,CPH,https://finance.yahoo.com/quote/STIGM.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Storebrand Global Plus A5,Investeringsforeninger,NO0010841604,Akkumulerende,STIGP.CO,CPH,https://finance.yahoo.com/quote/STIGP.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Storebrand Global Solutions A5,Investeringsforeninger,NO0010841612,Akkumulerende,STIGS.CO,CPH,https://finance.yahoo.com/quote/STIGS.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Storebrand Indeks - Alle Markeder A5,Investeringsforeninger,NO0010841588,Akkumulerende,STIIAM.CO,CPH,https://finance.yahoo.com/quote/STIIAM.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Storebrand Indeks - Nye Markeder A5,Investeringsforeninger,NO0010841570,Akkumulerende,STIINM.CO,CPH,https://finance.yahoo.com/quote/STIINM.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sydinv Indeks GloAktLavRisk KL,Investeringsforeninger,DK0061281490,Distribuerende,SYIIGALRKL.CO,CPH,https://finance.yahoo.com/quote/SYIIGALRKL.CO/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Sydinvest Europa Trends A,Investeringsforeninger,DK0064196232,Distribuerende,SYIETA.CO,CPH,https://finance.yahoo.com/quote/SYIETA.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sydinvest Europa Value A DKK,Investeringsforeninger,DK0015323406,Distribuerende,SYIEUVADKK.CO,CPH,https://finance.yahoo.com/quote/SYIEUVADKK.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sydinvest Fjernøsten A DKK,Investeringsforeninger,DK0010169549,Distribuerende,SYIFJEADKK.CO,CPH,https://finance.yahoo.com/quote/SYIFJEADKK.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
